Ut,Ein
1.0,0.171
1.0,0.1635
1.0,0.1735
1.0,0.1665
1.0,0.1655
1.0,0.166
1.0,0.172
1.0,0.1655
0.9999999999999999,0.17
1.0,0.1635
1.0,0.172
1.0,0.1595
1.0,0.169
0.9999999999999999,0.159
0.9999999999999999,0.1665
0.9999999999999999,0.16
0.9999999999999999,0.1625
0.9999999999999999,0.165
0.9999999999999998,0.1625
1.0,0.166
1.0,0.163
1.0,0.159
1.0,0.1625
1.0,0.163
1.0,0.163
1.0,0.161
1.0,0.165
1.0,0.164
0.9999999999999999,0.1615
1.0,0.1615
1.0,0.161
0.9999999999999999,0.1635
1.0,0.1635
0.9999999999999999,0.1625
1.0,0.1615
0.9999999999999999,0.1645
1.0,0.162
1.0,0.1655
1.0,0.1555
1.0,0.1615
1.0,0.1535
1.0,0.158
1.0,0.158
1.0,0.1585
1.0,0.161
1.0,0.1525
1.0,0.162
1.0,0.152
0.9999999999999999,0.154
1.0000000000000002,0.153
1.0,0.162
1.0,0.1525
1.0,0.154
1.0,0.152
1.0,0.146
0.9999999999999999,0.1555
1.0,0.1495
0.9999999999999999,0.1595
1.0,0.1505
1.0,0.157
1.0,0.1535
1.0,0.1535
1.0,0.1605
1.0,0.153
1.0,0.1605
1.0,0.153
1.0,0.16
1.0,0.1515
1.0,0.1565
1.0,0.155
0.9999999999999999,0.159
1.0,0.1595
1.0000000000000002,0.1575
0.9999999999999999,0.163
1.0,0.1555
1.0,0.1625
1.0,0.155
1.0,0.1575
1.0,0.155
0.9999999999999999,0.1585
1.0,0.1545
1.0,0.1595
1.0,0.161
1.0,0.159
1.0,0.1665
1.0,0.152
1.0,0.1615
1.0,0.149
1.0,0.16
1.0,0.1445
1.0,0.163
1.0,0.146
1.0,0.159
1.0,0.152
1.0,0.155
1.0,0.1525
1.0,0.155
0.9999999999999999,0.157
1.0,0.148
0.9999999999999999,0.1505
0.9999999999999999,0.149
1.0,0.1535
1.0,0.148
1.0,0.149
0.9999999999999999,0.151
1.0,0.145
0.9999999999999999,0.1475
0.9999999999999999,0.1455
1.0,0.146
1.0,0.144
0.9999999999999999,0.1505
1.0,0.1455
1.0,0.152
1.0,0.1435
1.0,0.15
0.9999999999999999,0.1525
0.9999999999999998,0.1465
1.0,0.153
1.0,0.143
1.0,0.1525
1.0,0.1405
0.9999999999999998,0.153
1.0,0.1415
1.0,0.152
1.0,0.1455
1.0000000000000002,0.1485
1.0,0.143
1.0,0.1475
1.0,0.145
1.0,0.149
1.0,0.1435
1.0,0.151
1.0,0.148
0.9999999999999999,0.15
1.0,0.144
1.0,0.1495
0.9999999999999999,0.1405
1.0,0.1475
1.0,0.14
1.0,0.1475
1.0,0.1445
1.0,0.146
1.0,0.143
1.0,0.146
1.0,0.1425
1.0,0.1465
0.9999999999999999,0.1415
1.0,0.1425
1.0,0.142
1.0,0.141
1.0,0.1475
1.0,0.136
1.0000000000000002,0.1475
1.0,0.1385
1.0,0.1435
0.9999999999999998,0.136
0.9999999999999999,0.137
1.0,0.1385
1.0,0.1365
1.0,0.141
1.0,0.134
0.9999999999999999,0.141
1.0,0.131
1.0,0.1405
1.0,0.1335
1.0,0.1425
0.9999999999999999,0.1345
0.9999999999999999,0.1365
1.0,0.1405
1.0,0.1375
1.0,0.1405
1.0,0.138
1.0,0.1375
1.0,0.133
1.0,0.1475
1.0,0.133
1.0,0.147
0.9999999999999999,0.1385
1.0,0.146
1.0000000000000002,0.1395
1.0,0.145
0.9999999999999998,0.1415
0.9999999999999999,0.1455
1.0,0.135
1.0,0.1475
1.0,0.134
0.9999999999999999,0.1455
0.9999999999999999,0.1305
1.0,0.142
1.0,0.1325
1.0,0.1305
1.0,0.1385
0.9999999999999998,0.132
1.0,0.1405
1.0,0.1365
1.0,0.137
1.0,0.145
1.0,0.1305
1.0,0.143
0.9999999999999998,0.139
1.0,0.141
1.0,0.1415
1.0,0.137
1.0,0.147
1.0,0.1345
1.0,0.137
1.0,0.1365
1.0,0.1415
1.0,0.1395
1.0,0.141
1.0,0.136
1.0,0.1435
1.0,0.1325
1.0,0.142
0.9999999999999998,0.135
0.9999999999999999,0.1355
1.0,0.14
1.0,0.1425
1.0000000000000002,0.1345
1.0,0.141
1.0,0.133
0.9999999999999999,0.14
1.0,0.131
0.9999999999999999,0.14
0.9999999999999999,0.131
0.9999999999999998,0.1415
1.0,0.136
1.0,0.1355
1.0,0.1385
