Ein,epsilon
0.476,0.46972371904604804
0.4895,0.470320570189527
0.494,0.4697069314802663
0.4885,0.4681190473745423
0.483,0.4653991538692616
0.478,0.4720096102482421
0.4895,0.47117865314765106
0.4785,0.471989087597084
0.4735,0.47188600696399935
0.4795,0.47231400806906926
0.484,0.47120801809940754
0.4775,0.47243313258390185
0.482,0.4673215280640034
0.484,0.4671706008585247
0.48,0.46948321977394963
0.4815,0.4723397776932988
0.487,0.4704311118341299
0.487,0.47066338828433985
0.487,0.47118814382983554
0.482,0.46516995735968014
0.4805,0.46848953111901714
0.482,0.4690111286261067
0.418,0.4696178475454197
0.482,0.46987633168445875
0.4765,0.47130924311315214
0.477,0.4719924041809286
0.4785,0.4717900716311155
0.4855,0.4710808725105857
0.4775,0.46998180085345714
0.4815,0.4721408801470012
0.49,0.47175733333466774
0.487,0.4725402012772472
0.481,0.46730173830143296
0.486,0.46633686253703127
0.482,0.46908824305698604
0.4845,0.4687729668157691
0.478,0.46717371734673
0.489,0.46740336480630496
0.4835,0.47063014089045696
0.4875,0.4703341794913112
0.477,0.47175784894214934
0.476,0.47123642883579114
0.4075,0.4725299972373834
0.4835,0.46929254726433445
0.4825,0.4698773436613014
0.4905,0.468207586204576
0.474,0.47166514702839835
0.4875,0.4708439660047081
0.484,0.4725429471789095
0.485,0.47230214371809176
0.4655,0.4717371879170632
0.4795,0.46894702477073397
0.478,0.47124712029049287
0.4825,0.47148495011721414
0.4725,0.46934060991126303
0.4705,0.46949128798699985
0.4825,0.4713659735698051
0.488,0.46551331559307246
0.4905,0.46903029913604416
0.4765,0.4677468283728473
0.481,0.47096870134840685
0.488,0.4716258368225271
0.476,0.47137106216507485
0.4795,0.4710606081971413
0.4875,0.47242891628371786
0.47,0.4723156586886259
0.4855,0.47118947531191435
0.493,0.46993879368557817
0.492,0.47259766170242734
0.4815,0.47280628018516935
0.487,0.46579289817933045
0.476,0.47222003960133363
0.483,0.4713951325537653
0.4895,0.4656349173055072
0.485,0.4661798704910223
0.475,0.46591628848284145
0.4865,0.47136052413728324
0.488,0.47063575374984035
0.481,0.47178063248404456
0.464,0.4732680457937519
0.4955,0.46962713351701046
0.4795,0.47024105245308057
0.478,0.47153068608790644
0.457,0.4697442166457254
0.49,0.46464997953257126
0.49,0.4699172091610248
0.49,0.47199823308467453
0.477,0.4737170809442858
0.4825,0.4706372573507185
0.482,0.4717382419558251
0.4815,0.4729498483603633
0.488,0.473869272783899
0.4665,0.4687997586617578
0.495,0.4713475211807295
0.4795,0.4719130415292291
0.475,0.46999932692467716
0.484,0.4675384040111019
0.4445,0.4657149337840591
0.4905,0.46898305261744305
0.4535,0.4674105186104809
0.488,0.46552295085781836
0.4845,0.46763104197690575
0.4815,0.46682581702719755
0.4955,0.46874203578686363
0.4815,0.47063598124976525
0.482,0.47209387937269953
0.4815,0.4726065121544664
0.4845,0.4742302892222021
0.485,0.4733792024849305
0.4925,0.4676438420128256
0.4985,0.4724656785007599
0.4875,0.4681912340881289
0.446,0.4695107568978011
0.4965,0.4702908050381729
0.4905,0.4689893281372776
0.4565,0.4727753714269979
0.489,0.4677228196964223
0.4185,0.47025463781933796
0.4925,0.47303820662585716
0.4745,0.4736351023435008
0.4845,0.473014603509322
0.479,0.46772755522088677
0.486,0.47318060267482415
0.475,0.4733860507470328
0.4955,0.4677107453766551
0.4765,0.46876097610173134
0.482,0.472457057838412
0.471,0.4707002608957152
0.4895,0.46829101104691595
0.4935,0.46794095794336993
0.4885,0.4688656202441578
0.4765,0.46896048302868615
0.4875,0.46922462606901566
0.484,0.4729900269535083
0.494,0.47178634166707584
0.4995,0.4736361032923106
0.4865,0.47295630291514584
0.4885,0.4739598712195041
0.481,0.4721095288236413
0.4915,0.4746400260381694
0.487,0.4742089332742953
0.4855,0.47448265986871396
0.47,0.47409769695457055
0.485,0.47123823882263643
0.481,0.4741231873984967
0.4865,0.47177120886735413
0.473,0.47399788179118263
0.4685,0.47399586899571866
0.474,0.47336606646048607
0.4815,0.4701118656659507
0.496,0.4692022618482723
