round,gamma,eval
20,0.1,0.2896851426697278
20,1,0.5061495572318793
20,10,0.5061495572318793
20,100,0.5061495572318793
21,0.01,0.02836995736306991
21,0.1,0.24147261397179387
21,1,0.505821580846179
21,10,0.505821580846179
21,100,0.505821580846179
22,0.01,0.025582158084617945
22,0.1,0.12036733355198426
22,1,0.4952443424073467
22,10,0.4952443424073467
22,100,0.4952443424073467
23,0.01,0.025336175795342752
23,0.1,0.22351590685470635
23,1,0.505739586749754
23,10,0.505739586749754
23,100,0.505739586749754
24,0.01,0.02820596917021978
24,0.1,0.10216464414562154
24,1,0.49491636602164646
24,10,0.49491636602164646
24,100,0.49491636602164646
25,0.01,0.020006559527713907
25,0.1,0.07986224991800595
25,1,0.4953263365037718
25,10,0.4953263365037718
25,100,0.4953263365037718
26,0.01,0.030501803870121358
26,0.1,0.12782879632666455
26,1,0.49467038373237127
26,10,0.49467038373237127
26,100,0.49467038373237127
27,0.01,0.0241062643489669
27,0.1,0.20424729419481802
27,1,0.4948343719252214
27,10,0.4948343719252214
27,100,0.4948343719252214
28,0.01,0.023286323384716257
28,0.1,0.11848146933420789
28,1,0.4949983601180715
28,10,0.4949983601180715
28,100,0.4949983601180715
29,0.01,0.023778287963266642
29,0.1,0.18711052804198103
29,1,0.49467038373237127
29,10,0.49467038373237127
29,100,0.49467038373237127
30,0.01,0.023860282059691706
30,0.1,0.18776648081338143
30,1,0.5056575926533289
30,10,0.5056575926533289
30,100,0.5056575926533289
31,0.01,0.026402099048868477
31,0.1,0.30034437520498525
31,1,0.5061495572318793
31,10,0.5061495572318793
31,100,0.5061495572318793
32,0.01,0.03640537881272532
32,0.1,0.1657920629714661
32,1,0.49491636602164646
32,10,0.49491636602164646
32,100,0.49491636602164646
33,0.01,0.02312233519186624
33,0.1,0.19530993768448668
33,1,0.5056575926533289
33,10,0.5056575926533289
33,100,0.5056575926533289
34,0.01,0.022138406034765357
34,0.1,0.1829288291243032
34,1,0.49491636602164646
34,10,0.49491636602164646
34,100,0.49491636602164646
35,0.01,0.025336175795342752
35,0.1,0.23712692686126602
35,1,0.5059035749426041
35,10,0.5059035749426041
35,100,0.5059035749426041
36,0.01,0.02492620531321743
36,0.1,0.2304034109544113
36,1,0.4926205313217449
36,10,0.03361757953427358
36,100,0.49450639553952114
37,0.01,0.03419153820924892
37,0.1,0.07732043292882917
37,1,0.49516234831092165
37,10,0.49516234831092165
37,100,0.49516234831092165
38,0.01,0.02238438832404066
38,0.1,0.2947687766480813
38,1,0.5062315513283044
38,10,0.5062315513283044
38,100,0.5062315513283044
39,0.01,0.020498524106264404
39,0.1,0.17218760249262066
39,1,0.49475237782879633
39,10,0.49475237782879633
39,100,0.49475237782879633
40,0.01,0.023286323384716257
40,0.1,0.1475073794686782
40,1,0.49516234831092165
40,10,0.49516234831092165
40,100,0.49516234831092165
41,0.01,0.026976057723843927
41,0.1,0.13520826500491967
41,1,0.4949983601180715
41,10,0.4949983601180715
41,100,0.4949983601180715
42,0.01,0.022712364709740918
42,0.1,0.2132666448015743
42,1,0.49475237782879633
42,10,0.49475237782879633
42,100,0.49475237782879633
43,0.01,0.02082650049196455
43,0.1,0.19858970154148903
43,1,0.49475237782879633
43,10,0.49475237782879633
